Modelo,MAE,RMSE,R2
Linear Regression,2.297416463310403,2.9454591933454157,0.7358466955484118
Random Forest,1.7990730337078653,2.5420673104751312,0.803245751428289
Hist Gradient Boosting,1.7984425058049596,2.552793158438706,0.8015819022426897
Extra Trees,1.8521161048689139,2.584499157019442,0.7966225410294999
Gradient Boosting,1.8728901628034285,2.61960389198924,0.7910601487519631
LightGBM,1.791695547626805,2.5108242950930992,0.8080524064299011
CatBoost,1.7590773791256842,2.453573655417311,0.8167060092525468
XGBoost,1.8135561730210366,2.515025607721407,0.8074095047791187
