Iterations,Depth,MAE,RMSE,R2
1000,6,1.7722084098575155,2.4597325015960574,0.8157846622839403
300,6,1.7810350207159453,2.454558137166855,0.8165588885085232
500,6,1.7829315941836117,2.458291320275293,0.8160004661793817
1000,8,1.7966482171802407,2.480971468726245,0.8125896520524729
500,8,1.8068695591241462,2.47527710289999,0.8134489592926772
300,4,1.8123156622034327,2.49786469583624,0.8100287646524984
500,4,1.815557180675423,2.4914157305519327,0.8110084305282812
1000,4,1.8159023403466632,2.496464428823433,0.8102416952358609
300,8,1.8224771218971911,2.4842883065701873,0.8120882152075273
